text,label
"Успеть раньше всех: участников первого заезда на «ЗСД Фонтанка Фесте» ждут призы и лучшие виды. По предварительным данным, в турнире будут участвовать восемь команд",sport
Капитан «Зенита» Дуглас Сантос и полузащитник Луис Энрике вызваны в сборную Бразилии. «Челси» оштрафован за финансовые нарушения времён Абрамовича,sport
"Калгари, Эдмонтон и Прага примут матчи Кубка мира по хоккею — 2028. Четыре истории триумфа",sport
"Экс-армеец Григоренко, от которого отказался Ларионов, прервал победную серию СКА",sport
"«Поставим минусы»: «Урал» перестанет платить зарплату футболисту, обвиняемому в убийстве",sport
«Челси» оштрафован на рекордную сумму за нарушения времён Абрамовича,sport
Прием заявок на участие в гонках «Владыка ветра» завершен. Впереди — награждение победителей,sport
"Родился без руки, потеряла зрение в 15, вырос в интернате: кто принес России 12 медалей Паралимпиады",sport
"Шлем, номер на руле и исправные тормоза: как безопасно принять участие в «ЗСД Фонтанка Фесте»",sport
Российские спортсмены на закрытии Паралимпиады прошли с флагом страны,sport
"Из Петербурга — во Францию, из Франции — в сборную Бахрейна: история пловца Михаила Архангельского, который претендует на золото Олимпиады-2028",sport
Третье место в медальном зачете: Россия громко вернулась на Паралимпиаду,sport
Четвертое золото в карьере: Бугаев победил на Паралимпиаде-2026,sport
Багиян взяла третье золото Паралимпиады — и вывела Россию на четвертое место,sport
Второе золото Голубкова: россиянин снова победил на Паралимпиаде,sport
"Соболев в маске ныряльщика, два пенальти и решающие замены Семака: как «Зенит» дожал «Спартак» в главном матче тура",sport
«Зенит» наказал «Спартак» двумя пенальти,sport
Ворончихина снова первая: россиянка взяла второе золото Паралимпиады,sport
Соболев и Педро выйдут в старте «Зенита» против «Спартака»,sport
Ларионов (или Тамбиев?) на коне: СКА разнёс «Северсталь» перед плей-офф,sport
СКА разнес «Северсталь» в Петербурге: 5:0 и пятая победа подряд,sport
Договорняк в Петербурге: три футболиста получили бан на пять лет,sport
«Будьте громкими как никогда»: «Зенит» выпустил памятку фанатам перед игрой со «Спартаком»,sport
Два дня до победы. Лучшие участники парусных зимних гонок «Владыка ветра» получат призы и подарки,sport
РБК: СКА урезал зарплаты на треть и впервые за четыре года вышел в плюс,sport
