text,label
"«Фонтанка» приглашает на круглый стол «Загородная недвижимость накануне сезона: что и где покупают и строят весной». Правительство РФ утвердило Концепцию цифровизации многоквартирных домов на территории РФ до 2030 года — предполагается, что она поможет синхронизировать деятельность органов власти, застройщиков, ресурсоснабжающих организаций, управляющих компаний, производителей оборудования и разработчиков ПО. В течение 6 месяцев Минцифры совместно с Минстроем, Минпромторгом, Минэнерго и другие ведомства разработают и внесут в Правительство проект плана мероприятий по реализации концепции.",realty
"21 апреля — Круглый стол «Цифровизация девелопмента: от BIM до онлайн-продаж». Студии и «однушки» остаются наиболее популярным форматом квартир в новостройках, а просторных многокомнатных квартир строится всё меньше. Власти пытаются с этим бороться, в частности, предлагая изменить условия семейной ипотеки и повысив ее лимит для покупки квартир от 60 кв. м и больше. Еще один способ — запрет на строительство квартир меньше 28 кв. м — он, в частности, действует в Ленинградской области с 1 января 2026 года. Спрос по-прежнему определяет цена — чем больше метров, тем она выше, а при текущих рыночных ставках по ипотеке это особенно «бьет» по покупателям.",realty
"9 апреля — Круглый стол «От мала до велика: как меняется спрос на студии и большие квартиры». По данным ЕРЗ.РФ в феврале 2026 года застройщики вывели на российский рынок 409 новых проектов многоквартирного жилья на 81,6 тыс. квартир общей площадью 3,85 млн кв. м. Всего с начала года на рынок страны выведено 766 новых проектов МКД на 135 тыс. квартир общей площадью 6,55 млн м². В Санкт-Петербурге, по данным ЕРЗ, выведено на рынок в феврале 10 домов на 3,5 тыс. квартир общей площадью 155,8 тыс. кв м. В Ленинградской области — 18 домов на 7,7 тыс. квартир общей площадью 318,7 тыс. кв. м",realty
16 апреля — Круглый стол «Новые проекты: растет ли предложение в Петербурге и Ленобласти». Во всех нюансах помог разобраться эксперт крупной девелоперской компании,realty
"Семейная ипотека 2026: как сегодня покупают бизнес-класс в Москве. Приглашаем подняться на борт «Лайнера» — жилого комплекса от холдинга «РСТИ». Этот дом создан для тех, кто хочет, чтобы повседневность была яркой, а быт — легким и вдохновляющим.",realty
"Ленобласть догоняет: желающих там жить всё больше. Апартаменты в 2026 году становятся все более востребованными на петербургском рынке недвижимости, утверждают эксперты.",realty
"Наш проект: В Петербурге построили дом в форме лайнера. Что из него можно увидеть. Приглашаем подняться на борт «Лайнера» — жилого комплекса от холдинга «РСТИ». Этот дом создан для тех, кто хочет, чтобы повседневность была яркой, а быт — легким и вдохновляющим.",realty
"Премиум в дефиците, бизнес — растет: как меняется рынок дорогого жилья Петербурга. Недвижимость традиционно считается одним из самых надежных вложений Но премиальный сегмент предполагает иной подход: здесь важно инвестировать не просто в квадратные метры, а в проекты с историей, характером и продуманной средой — те, что не останутся безликими точками на карте. «Кристалл Холл», премиальный жилой комплекс в Адмиралтейском районе рядом с набережной Фонтанки, — место, в котором сочетаются культурный контекст, продуманная архитектура и безупречное наполнение, свойственное настоящему премиуму.",realty
"«Фонтанка» приглашает на круглый стол «Загородная недвижимость накануне сезона: что и где покупают и строят весной». Апартаменты в 2026 году становятся все более востребованными на петербургском рынке недвижимости, утверждают эксперты.",realty
"«Фонтанка» приглашает на круглый стол «Отделка от застройщика: спрос и предложение». Пошагово рассказываем, как согласовать работы",realty
"Наш проект: Что такое кэшбэк на квартиру — объясняем на примере. Приглашаем подняться на борт «Лайнера» — жилого комплекса от холдинга «РСТИ». Этот дом создан для тех, кто хочет, чтобы повседневность была яркой, а быт — легким и вдохновляющим.",realty
"Наш проект: Прописка в апартаментах — что это значит для рынка. Апартаменты в 2026 году становятся все более востребованными на петербургском рынке недвижимости, утверждают эксперты.",realty
Наш проект: Дизайнерский ремонт и видовые квартиры с террасами. Что за дом строят на Курской. Предложения должны подготовить до 30 марта,realty
7 причин выбрать дом у Невы. Здания возведут по обе стороны от Leader Tower,realty
«С кем ребенок — того и ипотека»: как рынок новостроек в феврале привыкал к новым правилам игры. Власти уже прорабатывают различные варианты по модернизации программы,realty
"На Рижском строят дом с камерным кинотеатром и переговоркой. Приглашаем подняться на борт «Лайнера» — жилого комплекса от холдинга «РСТИ». Этот дом создан для тех, кто хочет, чтобы повседневность была яркой, а быт — легким и вдохновляющим.",realty
«Фонтанка» приглашает на круглый стол «Загородная недвижимость накануне сезона: что и где покупают и строят весной»,realty
В Петербурге готовятся к очередному повышению кадастровой стоимости недвижимости,realty
Средний срок ипотеки на новое жилье в России впервые превысил 27 лет,realty
Исторические дома на Кантемировской превратили в апартаменты,realty
Петербург обогнал Москву по продажам новостроек в январе,realty
"Чтобы ремонт не обернулся потерей квартиры: гайд, как легально сделать перепланировку",realty
Наш проект: Чтоб не испытывать зеленую тоску. Как новоселам сэкономить на мебели,realty
Доля сделок с недвижимостью без ипотеки достигла в 2025 году рекордных 68%,realty
«Фонтанка» приглашает на круглый стол «Отделка от застройщика: спрос и предложение»,realty
"Закаты, чайки, теплоходы. Как поселиться на берегу Невы",realty
В Тегеране прошла демонстрация с плачем по аятолле,realty
"В Петербурге можно выбрать квартиру, вернув часть цены на мебель и технику",realty
Человек на входе. Зачем сегодня нужна служба консьержей в новых жилых домах,realty
"Вакансий меньше, резюме больше: как изменилась ситуация на стройках Петербурга в начале года",realty
Апартаменты вместо квартиры: почему стоит присмотреться к жилому кварталу у «Лесной»,realty
Семейную ипотеку расширят на вторичное жилье. Рассказываем подробности,realty
Генератор областной стройки: Всеволожский район собирает все больше городского спроса на жилье,realty
Наш проект: Как посчитать количество керамических плиток перед покупкой — совет экспертов,realty
"На площади Конституции построят 75-метровые бизнес-центры. Показываем, как они могут выглядеть",realty
«Фонтанка» приглашает на круглый стол «Инвестиции в недвижимость: куда вкладывать деньги»,realty
Готовьте свидетельства о рождении: как количество детей может изменить семейную ипотеку,realty
"Эстетика, комфорт и лучшие закаты. 7 причин выбрать дом у Невы",realty
"Считаем, читаем, проверяем. 3 гайда по выбору плитки для ванной",realty
Место все-таки красит человека — 5 доказательств,realty
Новости компаний,realty
"Теперь это недоступно или всё же можно? Что изменилось в семейной ипотеке и кому теперь могут отказать. Вместе с экспертами разбираемся, как получить льготный кредит и кто по-прежнему может на него рассчитывать",realty
"В центре Петербурга построят дом с атмосферой как в загородных резиденциях. Недвижимость традиционно считается одним из самых надежных вложений Но премиальный сегмент предполагает иной подход: здесь важно инвестировать не просто в квадратные метры, а в проекты с историей, характером и продуманной средой — те, что не останутся безликими точками на карте. «Кристалл Холл», премиальный жилой комплекс в Адмиралтейском районе рядом с набережной Фонтанки, — место, в котором сочетаются культурный контекст, продуманная архитектура и безупречное наполнение, свойственное настоящему премиуму.",realty
Минстрой: застройщики должны сами платить выбранной ими управляющей компании до передачи квартир собственникам. Ответы на вопросы в восьми карточках,realty
"«Фонтанка» приглашает на круглый стол «От замещения к конкуренции: как работает мебельный бизнес в 2026 году». Недвижимость традиционно считается одним из самых надежных вложений Но премиальный сегмент предполагает иной подход: здесь важно инвестировать не просто в квадратные метры, а в проекты с историей, характером и продуманной средой — те, что не останутся безликими точками на карте. «Кристалл Холл», премиальный жилой комплекс в Адмиралтейском районе рядом с набережной Фонтанки, — место, в котором сочетаются культурный контекст, продуманная архитектура и безупречное наполнение, свойственное настоящему премиуму.",realty
"Хозяин приходит без спроса, квартиранты не платят. Как составить договор аренды, чтобы не потерять деньги и нервы. Федеральный девелопер DOGMA подвел итоги работы за 2025 год. Рост выручки составил +87,2%, по данным независимых экспертов аналитического центра «Движение.ру».",realty
"Наш проект: Возможность редкая и ценная. Как поселиться в историческом квартале Петербурга, но в новом доме. В 2025 году спрос на готовые квартиры с отделкой опережал предложения без ремонта, а цены на такие лоты росли быстрее, чем на «бетон» — то есть жильё без отделки, отмечают аналитики. В Петербурге и Ленинградской области доля сделок с чистовой отделкой достигала около двух третей всех продаж в 2025 году, а интерес к предчистовой отделке уверенно растёт. Но это касается жилья массового сегмента — доля лотов с готовой внутренней отделкой в элитном сегменте остаётся низкой. Несмотря на рост цен на отделочные материалы и работы, многие девелоперы предпочитают предлагать предчистовуюили чистовую отделку как продукт, отвечающий потребностям клиентов при ограниченном бюджете. При этом ряд застройщиков столкнулись с трудностями поиска подрядчиков для качественного выполнения отделки, что привело даже к переносу сроков передачи ключей.",realty
"Инвестиция в стиль жизни. Каким будет клубный дом в Адмиралтейском районе. Ставки по банковским вкладам в России постепенно снижаются, и прогнозы экспертов на 2026 год предполагают, что средняя максимальная ставка по депозитам может оказаться на уровне около 14–15% годовых после серии корректировок ключевой ставки ЦБ. Это может подтолкнуть еще больше вкладчиков искать альтернативные способы размещения сбережений — при этом недвижимость продолжает восприниматься россиянами как один из надёжных способов сохранить и приумножить капитал.",realty
